Source_File,Date_Added,Supermarket,Product_Category,Product_ID,Product_Name,Brand,Product_Price,Price_Per_Unit,Weight_g,Price_Per_kg,Energy_kcal_100_g,Fats_In_Product_g,Carbs_In_Product_g,Sugars_In_Product_g,Protein_In_Product_g,Salt_In_Product_g
almhof-halfvolle-fruityoghurt-perzik-500-g-31741BAK.html,2026-06-26,Jumbo,Yoghurt,31741BAK,Almhof_Halfvolle_Fruityoghurt_Perzik_500_g,Almhof,2.5,5.0,500.0,5.0,89.6,6.5,68.5,65.5,23.0,0.8
almhof-hoekje-yoghurt-pistache-smaak-met-krokante-amandelen-150-g-577924STK.html,2026-06-26,Jumbo,Yoghurt,577924STK,Almhof_Hoekje_Yoghurt_Pistache_Smaak_met_Krokante_Amandelen_150_g,Almhof,1.5,9.9,150.1,10.0,151.8,9.0,28.5,26.9,6.9,0.2
almhof-roomyoghurt-aardbei-500-g-327921BKR.html,2026-06-26,Jumbo,Yoghurt,327921BKR,Almhof_Roomyoghurt_Aardbei_500_g,Almhof,2.6,5.2,500.0,5.2,137.7,40.5,63.5,60.5,13.5,0.4
almhof-roomyoghurt-mango-special-edition-500-g-291689BKR.html,2026-06-26,Jumbo,Yoghurt,291689BKR,Almhof_roomyoghurt_mango_special_edition_500_g,Almhof,2.6,5.2,500.0,5.2,138.1,40.5,64.5,62.0,13.5,0.4
almhof-roomyoghurt-meloen-500g-736147CUP.html,2026-06-26,Jumbo,Yoghurt,736147CUP,Almhof_Roomyoghurt_Meloen_500g,Almhof,2.6,5.2,500.0,5.2,139.1,40.0,67.0,64.0,13.5,0.5
almhof-roomyoghurt-perzik-maracuja-500-g-327956BKR.html,2026-06-26,Jumbo,Yoghurt,327956BKR,Almhof_Roomyoghurt_Perzik_Maracuja_500_g,Almhof,2.6,5.2,500.0,5.2,141.0,41.0,67.5,64.5,13.5,0.4
almhof-roomyoghurt-spaanse-sinaasappel-500-g-567345BKR.html,2026-06-26,Jumbo,Yoghurt,567345BKR,Almhof_Roomyoghurt_Spaanse_Sinaasappel_500_g,Almhof,2.6,5.2,500.0,5.2,138.1,40.5,62.0,58.5,13.5,0.5
almhof-roomyoghurt-stracciatella-500-g-11255BKR.html,2026-06-26,Jumbo,Yoghurt,11255BKR,Almhof_Roomyoghurt_Stracciatella_500_g,Almhof,2.6,5.2,500.0,5.2,154.4,50.0,61.5,58.5,14.5,0.5
almhof-roomyoghurt-walnoot-griekse-honing-500-g-481085BKR.html,2026-06-26,Jumbo,Yoghurt,481085BKR,Almhof_Roomyoghurt_Walnoot_Griekse_Honing_500_g,Almhof,2.6,5.2,500.0,5.2,147.0,44.0,67.0,63.0,14.5,0.5
almhof-yoghurt-mousse-perzik-maracuja-2-x-95-g-715105PAK.html,2026-06-26,Jumbo,Yoghurt,715105PAK,Almhof_Yoghurt_Mousse_Perzik_Maracuja_2_x_95_g,Almhof,1.8,9.4,190.0,9.5,140.3,12.5,28.3,27.4,8.6,0.3
almhof-yoghurtmousse-aardbei-2-x-95-g-715103CUP.html,2026-06-26,Jumbo,Yoghurt,715103CUP,Almhof_yoghurtmousse_aardbei_2_x_95_g,Almhof,1.8,9.4,190.0,9.5,136.2,12.2,27.6,26.4,8.4,0.4
alpro-mild-creamy-naturel-plantaardige-variatie-op-yoghurt-755g-486574PAK.html,2026-06-26,Jumbo,Yoghurt,486574PAK,Alpro_Mild_&_Creamy_Naturel_Plantaardige_Variatie_Op_Yoghurt_755g,Alpro,2.9,3.8,754.6,3.8,48.3,17.4,16.6,16.6,30.2,1.8
alpro-mild-creamy-no-sugars-soyaproduct-nature-755-g-486575PAK.html,2026-06-26,Jumbo,Yoghurt,486575PAK,Alpro_Mild_&_Creamy_No_Sugars_Soyaproduct_Nature_755_g,Alpro,3.0,4.0,755.1,4.0,42.8,17.4,0.0,0.0,30.2,1.8
alpro-mild-creamy-zonder-suikers-variatie-op-yoghurt-4-x-755g-486575DSL.html,2026-06-26,Jumbo,Yoghurt,486575DSL,Alpro_Mild_&_Creamy_Zonder_Suikers_Variatie_Op_Yoghurt_4_x_755g,Alpro,12.0,4.0,3020.2,4.0,42.8,69.5,0.0,0.0,120.8,7.2
alpro-plantaardige-variatie-op-griekse-stijl-yoghurt-34-vet-400g-563545CUP.html,2026-06-26,Jumbo,Yoghurt,563545CUP,Alpro_Plantaardige_Variatie_Op_Griekse_Stijl_Yoghurt_3.4%_Vet_400g,Alpro,2.5,6.2,399.7,6.3,61.2,13.6,10.0,6.4,16.0,0.9
alpro-plantaardige-variatie-op-yoghurt-aardbei-500g-352668CUP.html,2026-06-26,Jumbo,Yoghurt,352668CUP,Alpro_Plantaardige_Variatie_Op_Yoghurt_Aardbei_500g,Alpro,2.5,5.0,500.0,5.0,68.4,10.5,40.5,39.5,18.0,1.2
alpro-plantaardige-variatie-op-yoghurt-bosbes-500g-44504BAK.html,2026-06-26,Jumbo,Yoghurt,44504BAK,Alpro_Plantaardige_Variatie_Op_Yoghurt_Bosbes_500g,Alpro,2.7,5.4,500.0,5.4,68.8,10.5,40.5,39.5,18.5,0.8
alpro-plantaardige-variatie-op-yoghurt-kers-500g-86958CUP.html,2026-06-26,Jumbo,Yoghurt,86958CUP,Alpro_Plantaardige_Variatie_Op_Yoghurt_Kers_500g,Alpro,2.8,5.6,500.0,5.6,75.0,10.0,47.0,46.5,18.5,1.0
